Actual_Dose,Dose,Time,Plasma_Conc_Mean,Plasma_Conc_SD
1.2,1,0.5,0,0
1.2,1,1,0,0
1.2,1,3,1.05,0.32
1.2,1,6,2.41,0.91
1.2,1,7,2.16,0.42
1.2,1,9,2.37,0
1.2,1,12,1.81,0.92
1.2,1,18,2.25,1.13
1.2,1,24,2.03,0.77
1.2,1,30,2.09,0.57
9.8,10,0.5,0,0
9.8,10,1,0.98,0
9.8,10,3,3.04,0.53
9.8,10,6,5.85,1.09
9.8,10,7,7.39,1.29
9.8,10,9,7.89,0.97
9.8,10,12,8.57,0
9.8,10,18,7.43,1.32
9.8,10,24,6.97,1.19
9.8,10,30,6.63,1.33
27,25,0.5,1.18,0
27,25,1,2.55,0
27,25,3,5.89,1.69
27,25,6,12.87,2.31
27,25,7,15.31,3.95
27,25,9,17.78,4.79
27,25,12,17.58,4.72
27,25,18,16.74,4.17
27,25,24,16.1,3.56
27,25,30,15.34,3.14
