ModelTime,Model,DiamondTime,Diamond,TriangleTime,Triangle,outTriangleTime,outTriangle,SquareTime,Square
0.002552965,4.018838365,0.253868109,106.6246057,0.607631065,55.20504732,0.22833108,95.89905363,1.242301337,121.7665615
0.143501816,17.79071366,1.741775575,131.5457413,1.643382905,90.22082019,0.748084723,114.1955836,2.72420009,144.1640379
0.40159751,35.33762077,23.65329728,134.384858,7.427519904,119.5583596,7.460567823,133.4384858,23.62625807,123.0283912
0.425565966,45.40437225,35.45666216,91.79810726,3.703620249,155.5205047,1.847679135,176.0252366,35.98693105,114.511041
0.666979551,60.36468349,47.77602524,65.93059937,15.56031245,135.3312303,3.69460718,151.7350158,71.63136548,85.17350158
2.084159232,78.29347028,95.37554454,57.72870662,23.57593511,101.8927445,11.7951029,153.9432177,95.43262731,81.70347003
3.097764318,83.50423031,119.6432327,50.15772871,35.45065345,89.27444795,15.59636473,150.4731861,119.7228481,83.59621451
3.804381981,89.02696202,143.4121977,33.12302839,47.32011417,74.44794953,23.68108758,146.0567823,143.5135947,75.70977918
4.342011663,94.73145453,167.6738771,23.02839117,71.57052726,59.6214511,35.48445246,103.4700315,167.7324621,47.6340694
5.93977658,99.86270147,191.466877,16.08832808,95.36127385,51.73501577,47.34264684,83.91167192,191.5615142,55.83596215
8.807563785,104.3333275,239.5561064,13.56466877,119.6207,40.69400631,71.57653598,62.14511041,240.1036503,43.53312303
13.54884795,104.5124547,287.6460868,11.35646688,191.4871564,24.60567823,95.37629563,58.04416404,288.1996395,43.84858044
19.04501776,100.4175889,335.7360673,9.148264984,239.570377,19.55835962,119.6499925,52.99684543,336.2670873,32.17665615
24.44199787,96.21000866,383.3521106,7.886435331,287.6671173,20.18927445,143.4422412,45.74132492,383.8756196,27.76025237
32.0387988,92.39126014,431.4435932,6.309148265,335.7428271,11.9873817,167.7054229,36.27760252,431.4991738,29.65299685
38.70135287,89.45376321,479.5343248,4.416403785,383.8598468,21.13564669,191.492414,26.81388013,480.0375545,15.77287066
47.05969236,85.88110218,,,431.4465976,7.570977918,239.5756347,21.76656151,,
53.98611578,83.59772499,,,479.5388313,6.309148265,287.6776326,24.60567823,,
60.97424968,80.63974531,,,,,335.7638576,20.82018927,,
66.41456532,78.57415573,,,,,383.3746432,17.35015773,,
72.04747344,76.51343066,,,,,431.4638726,14.82649842,,
79.63881606,73.71711081,,,,,479.54484,8.832807571,,
87.23082447,71.20042293,,,,,,,,
94.82283289,68.68373506,,,,,,,,
102.4156735,66.51658717,,,,,,,,
110.00918,64.62907127,,,,,,,,
117.6024534,62.64368417,,,,,,,,
125.1961929,60.85403946,,,,,,,,
132.7900322,59.10633955,,,,,,,,
140.384038,57.42854764,,,,,,,,
147.9782102,55.82066372,,,,,,,,
155.572216,54.14287181,,,,,,,,
163.6424976,52.50090532,,,,,,,,
173.2928133,50.75320541,,,,,,,,
180.8873995,49.31922005,,,,,,,,
188.2116749,48.32465639,,,,,,,,
196.0770756,46.66271619,,,,,,,,
203.67208,45.40437225,,,,,,,,
211.2674174,44.28584431,,,,,,,,
218.8627548,43.16731637,,,,,,,,
226.4577592,41.90897243,,,,,,,,
234.686255,40.78695877,,,,,,,,
243.7041592,39.35645913,,,,,,,,
251.7761053,38.41357261,,,,,,,,
259.3717755,37.43486066,,,,,,,,
266.9674458,36.45614871,,,,,,,,
274.5632825,35.54734475,,,,,,,,
282.1592857,34.7084488,,,,,,,,
289.7548893,33.70177365,,,,,,,,
297.3509591,32.89084089,,,,,,,,
304.9469622,32.05194493,,,,,,,,
312.5429654,31.21304898,,,,,,,,
320.139135,30.44406102,,,,,,,,
328.1881708,29.92886647,,,,,,,,
336.4355696,28.90608509,,,,,,,,
345.4599777,27.99728114,,,,,,,,
353.0566467,27.43801717,,,,,,,,
360.6529827,26.7389372,,,,,,,,
368.2494852,26.10976524,,,,,,,,
375.5266424,25.42554798,,,,,,,,
383.4434972,25.274355,,,,,,,,
390.768735,24.68402388,,,,,,,,
398.6356617,23.66298536,,,,,,,,
406.2326635,23.24353738,,,,,,,,
413.8294989,22.75418141,,,,,,,,
421.4260014,22.12500944,,,,,,,,
429.023255,21.81129489,,,,,,,,
437.8863572,21.29397571,,,,,,,,
445.4826746,20.58703352,,,,,,,,
453.0798428,20.23749354,,,,,,,,
460.6763453,19.60832157,,,,,,,,
468.2738465,19.39859758,,,,,,,,
476.3467954,18.87690189,,,,,,,,
484.7336031,18.31589506,,,,,,,,
492.3303532,17.79071366,,,,,,,,
498.6616042,17.61594367,,,,,,,,
