age,male,female
21,40,39.1
28,65.1,61.5
42,119.6,106.1
49,162.6,128.1
57,208.8,146.3
63,241.5,159
70,271.9,172.1
77,297,181.6
84,317.4,190.3
91,337.1,196.5
98,350.6,202.6
105,363.9,208.8
112,374.4,213.6
119,382.7,217.4
126,390.2,219.6
154,418.1,232.1
182,436,241
210,450.8,247.1
238,465.8,252.3
266,477.2,259.6
294,491.2,267.3
322,502.4,271.3
350,516.2,279.9
378,525.9,287
406,535.2,294.1
434,545.3,304.4
462,553.9,315.5
490,562.9,324.5
518,565,332.2
546,572,341.6
574,579.9,351.5
602,583.3,362.1
630,587.3,370.6
659,600.6,378.1
686,600.5,382.9
700,606.7,383.9
714,603.9,386.6
728,600.1,388.1
742,604.3,391.5
756,605.7,395.6
